path,bytes,sha256
00_README.md,1114,e0a1c0c692a0899827f6cdbe9f5df8307e34ad26ea5f332d6da1dfb4d2aeb4d3
10_MASTER_COMPUTATION_PROMPT.md,1622,873dbcb059fd10459af2b5d19c219f2378bd8408f3348e6858ec23e664c50cd4
11_COMPUTATION_DOCKET.md,2717,c7b9960c4a2ad78c6737bd8d9e8af8c70a5a8988cda303934c2ae86c73865204
12_REQUIRED_OUTPUT_SCHEMA.md,714,82f9095e644629cd402f3c9342dc151c0e730b26af4ab784fbf6f735a21b0a43
control/A018_A025_rest_packet_inventory.csv,1294,44c3dffc62a929b2603a9f4982415233f47e6195b31e8cd14ca33bcf2ee91fb0
control/A021_rigorous_theorem_completion_data_dossier.md,15839,c52b62d339b67606d14e15d1ef2daa489e259cc376da32ad9919e31d830d9795
control/c4_storage_hull_interval_assessment.md,2306,cfc6d9ee425e9006050544a05112cb5c34fce0075725d6eecff573ffc3544640
control/canonical_notation_variant_registry_v1_0.csv,4853,5f55186085f43d35026bdb6c4c1b543a3f786e4a57f432b6a348b7fad1ad467a
control/generic_two_block_periodic_persistence_theorem.md,8405,bb4ece8798d8f7d6a8d4be515f53a776981454d093abd78f84d7062e2d21640f
control/manuscript_v18_coupling_assessment.md,4004,35139873dfd2612ddc5acd4669fecebb910366bf23023bc4cc45563b16c9d2dc
control/new_packet_A018_A025_line_level_joint_audit.md,19965,fc9b31e1bc2b51da86ffde6b24f02d6c0361e1733b3863819cf7eed9dc89e99c
control/program_roadmap_A018_A025_evaluation.md,2073,f89e587a4f28547444c956223a81feac9fe0aff4695da96550e75d9d40b17f8a
control/remaining_obstacles_to_general_theory.md,9769,9a3161f0161424dfc29878059adc381ecd2a7cef3be075d41337974f6b050f4a
control/source_registry.csv,13028,56149fe43c279c37fe34e646627229cac288dafb2c76a6ed32d45010e744edd3
prompts/A018_to_A021_crosswalk_prompt_self_containment_audit.md,1903,5a817f8bbabe714e642178671b3cb8bf870fc6ff96d887b18e9d5cc74542be8c
prompts/A018_to_A021_formal_crosswalk_prompt.md,16914,57ff3bd20195a5a7bf441a0979597d6de348d9597f084a9f27baed654a7e3120
prompts/A021_RFDE_invariant_graph_prompt_self_audit.md,2543,7e40c332bc36c8910cae917b876c06fc29557bbf6056be136637f81b8f38eeaa
prompts/A021_RFDE_invariant_graph_proof_prompt.md,16714,a689db0eeb2ce5dad8870303474d5a5e548849ee86bd5e9f6693c80db762d41f
reviews/A021_crosswalk_numerical_joint_docket_ER020_ER029.csv,3421,31a984ccb61409a6bf87df6468b3a188dd97bebe3174b2d4dd95e1e9b574fccf
reviews/ER020_A018_A021_crosswalk_parallel_1/normalized_capture.md,1659,cba272613d4176f659331c96c778d4cd68b0935fe78c14607ccaaa732f7c25cc
reviews/ER020_A018_A021_crosswalk_parallel_1/point_inventory.md,3743,07fc5150aea023abac7827db9b395cab90f97422eeacb0847e982c97f993b24e
reviews/ER021_A018_A021_crosswalk_parallel_2/normalized_capture.md,1199,4d019b7107a3a8338e08b96b8da17671f6ee22d8e895eb425a3bcd7d940f8b19
reviews/ER021_A018_A021_crosswalk_parallel_2/point_inventory.md,2062,74dea9dc360aec290ff045b6ad307d1ce6e18b34c68a82c720c774996baa0632
reviews/ER022_A018_A021_crosswalk_parallel_3/normalized_capture.md,1642,96de6c1246fb3c34466c195340890b8553f4ef14271e2fde44052bb295e4d905
reviews/ER022_A018_A021_crosswalk_parallel_3/point_inventory.md,2755,5ae60c3b43efce7de36a49584dc32ca7ac06778d89ab63080d9c2fa271de4478
